Code_agent;NUK;Date_of_sale;Policy_number;Policy_status;Period_type_code;Type_of_periodicity;Periodicity_code;Periodicity;Region_code;Business_line;Insurance_premium
55499074;7099;11.11.2022;X0BXXCZ;20;D;Периодическая оплата;6;Полугодовая;55499;НСЖ;-74.7
88899016;15137;06.12.2022;X0BZCKI;20;D;Периодическая оплата;12;Годовая;88899;НСЖ;-1.6
55403002;5109;21.02.2022;X0BZXYI;20;D;Периодическая оплата;6;Полугодовая;55403;НСЖ;0.03
30325008;3274;19.08.2022;X0BZZKZ;20;D;Периодическая оплата;6;Полугодовая;30325;НСЖ;-9.68
52899092;758;05.05.2022;X0CWYIW;20;D;Периодическая оплата;12;Годовая;52899;НСЖ;17533
52899097;3219;06.09.2022;X0I0ZKY;20;D;Периодическая оплата;12;Годовая;52899;НСЖ;-1.11
55499074;7099;12.11.2022;X0IBXZR;20;D;Периодическая оплата;6;Полугодовая;55499;НСЖ;15.39
55499016;123;13.01.2022;X0IKIB0;20;D;Периодическая оплата;3;Ежеквартальная;55499;НСЖ;-2.61
56301011;590;20.03.2022;X0K0CBR;20;D;Периодическая оплата;12;Годовая;56301;НСЖ;480000
56399003;636;28.10.2022;X0K0CZR;20;D;Периодическая оплата;12;Годовая;56399;НСЖ;28550
56499003;2902;09.07.2022;X0K0IYY;20;D;Периодическая оплата;6;Полугодовая;56499;НСЖ;23743
311419002;15815;09.11.2022;X0K0XBK;20;D;Периодическая оплата;12;Годовая;311419;НСЖ;-2.92
56401008;9283;03.06.2022;X0KBRBW;20;D;Периодическая оплата;6;Полугодовая;56401;НСЖ;0.39
160599025;9708;22.04.2022;X0KC0KI;20;D;Периодическая оплата;12;Годовая;160599;НСЖ;0.02
160599004;2392;26.08.2022;X0KCXC0;20;D;Периодическая оплата;1;Ежемесячная;160599;НСиБ;1690.54
311419002;15815;28.10.2022;X0KXZKC;20;D;Периодическая оплата;12;Годовая;311419;НСЖ;42370
52899092;758;27.04.2022;X0RKBRI;20;D;Периодическая оплата;12;Годовая;52899;НСЖ;0.92
56399003;636;24.10.2022;X0W0RIC;20;D;Периодическая оплата;12;Годовая;56399;НСЖ;17930
56399003;636;10.06.2022;X0W0RIR;20;D;Периодическая оплата;12;Годовая;56399;НСЖ;43586
55499040;7080;28.09.2022;X0W0WYI;20;D;Периодическая оплата;12;Годовая;55499;НСЖ;86.4
56499009;5328;27.03.2022;X0WIRCY;20;D;Периодическая оплата;12;Годовая;56499;НСЖ;27030
55499016;123;24.03.2022;X0WIWKC;20;D;Периодическая оплата;12;Годовая;55499;НСЖ;31413
52899091;711;08.09.2022;X0WWR0C;20;D;Периодическая оплата;12;Годовая;52899;НСЖ;-2.04
160599025;9708;24.11.2022;X0WXRYZ;20;D;Периодическая оплата;6;Полугодовая;160599;НСЖ;-3.84
311424002;15616;11.10.2022;X0XICZC;20;D;Периодическая оплата;12;Годовая;311424;НСЖ;35977
56499008;2556;20.02.2022;X0YCYWZ;20;D;Периодическая оплата;12;Годовая;56499;НСЖ;45354
56301011;590;06.03.2022;X0YIIYK;20;D;Периодическая оплата;12;Годовая;56301;НСЖ;7146.56
56301011;590;11.10.2022;X0YIIYK0;20;D;Периодическая оплата;12;Годовая;56301;НСиБ;1089
56301011;590;13.02.2022;X0YIIYK00;20;D;Периодическая оплата;12;Годовая;56301;РСЖ;6252.8
56499002;8241;18.10.2022;X0YW0KZ;20;D;Периодическая оплата;6;Полугодовая;56499;НСЖ;22586
311424002;15616;27.08.2022;X0ZWYXB;20;D;Периодическая оплата;12;Годовая;311424;НСЖ;0.22
110199021;3568;09.05.2022;XB00BIC;20;D;Периодическая оплата;1;Ежемесячная;110199;ПСЖ;1862.4
116499016;17305;11.03.2022;XB00BKX;20;D;Периодическая оплата;1;Ежемесячная;116499;НСЖ;30042
160599021;9961;17.12.2022;XB00IBW;20;D;Периодическая оплата;1;Ежемесячная;160599;НСЖ;-7.38
160599021;9961;13.03.2022;XB00IBW0;20;D;Периодическая оплата;1;Ежемесячная;160599;НСиБ;1538.5
160599021;9961;08.11.2022;XB00IBW00;20;D;Периодическая оплата;1;Ежемесячная;160599;ПСЖ;6297.52
160599005;4242;17.04.2022;XB00IZK;20;D;Периодическая оплата;1;Ежемесячная;160599;ПСЖ;2943.8
30325007;3741;19.08.2022;XB00KKY;20;D;Периодическая оплата;1;Ежемесячная;30325;ПСЖ;49045.44
171605001;11676;09.03.2022;XB00KYI;20;D;Периодическая оплата;1;Ежемесячная;171605;ПСЖ;10464.34
171605001;11676;21.09.2022;XB00KYY;20;D;Периодическая оплата;1;Ежемесячная;171605;ПСЖ;14978.22
171699007;11657;09.12.2022;XB00KZ0;42;D;Периодическая оплата;1;Ежемесячная;171699;НСиБ;1999.62
171699007;11657;17.02.2022;XB00KZ00;42;D;Периодическая оплата;1;Ежемесячная;171699;ПСЖ;789.6
171601003;90058;17.06.2022;XB00KZY;20;D;Периодическая оплата;1;Ежемесячная;171601;НСЖ;10481.1
171601003;90058;13.03.2022;XB00KZY0;20;D;Периодическая оплата;1;Ежемесячная;171601;НСиБ;6110.9
52899100;917;14.11.2022;XB00RBR;20;D;Периодическая оплата;12;Годовая;52899;НСЖ;43470
52899100;917;03.06.2022;XB00RBR0;20;D;Периодическая оплата;12;Годовая;52899;НСиБ;1329.36
56499008;2556;01.05.2022;XB00YBK;20;D;Периодическая оплата;3;Ежеквартальная;56499;НСиБ;207.36
56499008;2556;01.09.2022;XB00YBK0;20;D;Периодическая оплата;3;Ежеквартальная;56499;ПСЖ;4585.68
56399007;1635;03.03.2022;XB00YRI;20;D;Периодическая оплата;12;Годовая;56399;НСиБ;1496
56399007;1635;23.08.2022;XB00YRI0;20;D;Периодическая оплата;12;Годовая;56399;ПСЖ;7450.56
55499057;9003;05.12.2022;XB00ZBI;20;D;Периодическая оплата;1;Ежемесячная;55499;НСЖ;2426.76
55499057;9003;18.03.2022;XB00ZBI0;20;D;Периодическая оплата;1;Ежемесячная;55499;НСиБ;64.96
52899102;2755;04.03.2022;XB00ZC0;20;D;Периодическая оплата;1;Ежемесячная;52899;НСЖ;19146
135799005;20875;17.02.2022;XB00ZWI;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;799.2
135799005;20875;02.01.2022;XB00ZWI0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;45564
135799005;20875;11.09.2022;XB00ZWW;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;1298.76
135799005;20875;17.04.2022;XB00ZWW0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;44
135799005;20875;27.08.2022;XB00ZWY;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;963.6
135799005;20875;03.08.2022;XB00ZWY0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;26543
171601011;11659;11.04.2022;XB00ZX0;20;D;Периодическая оплата;1;Ежемесячная;171601;ПСЖ;1605.28
160599005;4242;23.11.2022;XB0BKRC;20;D;Периодическая оплата;1;Ежемесячная;160599;НСЖ;21685.44
160599005;4242;18.06.2022;XB0BKRC0;20;D;Периодическая оплата;1;Ежемесячная;160599;НСиБ;2694.2
56499006;2938;17.12.2022;XB0CWRI;20;D;Периодическая оплата;12;Годовая;56499;НСЖ;8549.52
56499006;2938;14.02.2022;XB0CWRI0;20;D;Периодическая оплата;12;Годовая;56499;НСиБ;162.24
135799005;20875;25.08.2022;XB0CXIR;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;2519
135799005;20875;13.03.2022;XB0CXIR0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;32.2
88899011;15366;01.12.2022;XB0I0CB;20;D;Периодическая оплата;12;Годовая;88899;НСиБ;760
88899011;15366;21.11.2022;XB0I0CB0;20;D;Периодическая оплата;12;Годовая;88899;ПСЖ;10687.6
88899008;15166;21.11.2022;XB0I0IC;20;D;Периодическая оплата;12;Годовая;88899;НСЖ;11108.16
88899008;15166;19.12.2022;XB0I0IC0;20;D;Периодическая оплата;12;Годовая;88899;НСиБ;194.4
88899008;15166;25.05.2022;XB0I0II;20;D;Периодическая оплата;1;Ежемесячная;88899;НСЖ;66.76
88899008;15166;12.07.2022;XB0I0II0;20;D;Периодическая оплата;1;Ежемесячная;88899;НСиБ;7267.6
88899008;15166;07.08.2022;XB0I0II00;20;D;Периодическая оплата;1;Ежемесячная;88899;РСЖ;6283.9
88899008;15166;28.07.2022;XB0I0IY;20;D;Периодическая оплата;1;Ежемесячная;88899;НСЖ;3019.57
88899008;15166;20.09.2022;XB0I0IY0;20;D;Периодическая оплата;1;Ежемесячная;88899;НСиБ;2061.34
135699037;20092;03.03.2022;XB0I0RI;20;D;Периодическая оплата;1;Ежемесячная;135699;НСиБ;113.4
135699037;20092;27.12.2022;XB0I0RI0;20;D;Периодическая оплата;1;Ежемесячная;135699;ПСЖ;3964.4
40999030;14222;18.03.2022;XB0IBCC;20;D;Периодическая оплата;1;Ежемесячная;40999;НСЖ;45408
40999030;14222;11.05.2022;XB0IBCC0;20;D;Периодическая оплата;1;Ежемесячная;40999;НСиБ;4140.97
40999030;14222;12.02.2022;XB0IBCC00;20;D;Периодическая оплата;1;Ежемесячная;40999;РСЖ;2382.38
52899100;917;13.05.2022;XB0ICZC;20;D;Периодическая оплата;12;Годовая;52899;ПСЖ;9164.8
52899100;917;14.05.2022;XB0ICZI;20;D;Периодическая оплата;12;Годовая;52899;НСиБ;1544
52899100;917;11.11.2022;XB0ICZI0;20;D;Периодическая оплата;12;Годовая;52899;ПСЖ;11014.64
52899100;917;02.02.2022;XB0ICZK;20;D;Периодическая оплата;1;Ежемесячная;52899;НСиБ;951.26
52899100;917;14.02.2022;XB0ICZK0;20;D;Периодическая оплата;1;Ежемесячная;52899;ПСЖ;12984.89
52899100;917;06.09.2022;XB0ICZZ;20;D;Периодическая оплата;1;Ежемесячная;52899;НСЖ;3656.82
52899100;917;26.01.2022;XB0ICZZ0;20;D;Периодическая оплата;1;Ежемесячная;52899;НСиБ;1760.44
30327006;12353;25.05.2022;XB0II0W;20;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;8324.46
30327006;12353;22.08.2022;XB0II0W0;20;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;8411.28
30327006;12353;09.07.2022;XB0II0Z;20;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;48.38
30327006;12353;23.04.2022;XB0II0Z0;20;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;2552.03
30327006;12353;20.12.2022;XB0II0Z00;20;D;Периодическая оплата;1;Ежемесячная;30327;РСЖ;13436.5
116499015;17320;13.07.2022;XB0IKRI;20;D;Периодическая оплата;1;Ежемесячная;116499;НСЖ;-218.16
171699007;11657;27.10.2022;XB0IRC0;20;D;Периодическая оплата;1;Ежемесячная;171699;НСЖ;7911.9
171699007;11657;05.04.2022;XB0IRC00;20;D;Периодическая оплата;1;Ежемесячная;171699;НСиБ;343.64
88802001;15410;01.11.2022;XB0IRIZ;20;D;Периодическая оплата;1;Ежемесячная;88802;НСиБ;1162.02
88802001;15410;09.12.2022;XB0IRIZ0;20;D;Периодическая оплата;1;Ежемесячная;88802;РСЖ;-5.34
171699007;11657;05.11.2022;XB0IRXB;20;D;Периодическая оплата;1;Ежемесячная;171699;НСЖ;12395.6
171699007;11657;10.07.2022;XB0IRXB0;20;D;Периодическая оплата;1;Ежемесячная;171699;НСиБ;5812.56
52899092;758;16.12.2022;XB0IRZI;20;D;Периодическая оплата;1;Ежемесячная;52899;РСЖ;-3.3
52899092;758;08.10.2022;XB0IRZW;20;D;Периодическая оплата;1;Ежемесячная;52899;РСЖ;-1.32
40999030;14222;28.10.2022;XB0IRZX;20;D;Периодическая оплата;12;Годовая;40999;НСЖ;8995
40999030;14222;06.06.2022;XB0IRZX0;20;D;Периодическая оплата;12;Годовая;40999;НСиБ;412.5
30327001;2250;17.10.2022;XB0IWC0;20;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;1201.76
30327001;2250;14.10.2022;XB0IWC00;20;D;Периодическая оплата;1;Ежемесячная;30327;ПСЖ;6080.72
30327001;2250;16.08.2022;XB0IWCX;20;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;7885.37
30327001;2250;04.08.2022;XB0IWCX0;20;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;6089.9
40999029;14488;17.11.2022;XB0IXB0;20;D;Периодическая оплата;1;Ежемесячная;40999;НСЖ;6541.5
40999029;14488;12.05.2022;XB0IXB00;20;D;Периодическая оплата;1;Ежемесячная;40999;НСиБ;1072.62
40999029;14488;26.01.2022;XB0IXBR;20;D;Периодическая оплата;1;Ежемесячная;40999;НСЖ;12386.64
40999029;14488;23.07.2022;XB0IXBR0;20;D;Периодическая оплата;1;Ежемесячная;40999;НСиБ;4260.96
30327002;10327;16.06.2022;XB0IXCK;20;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;7078.61
30327002;10327;28.11.2022;XB0IXCK0;20;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;7481.94
30327002;10327;16.01.2022;XB0IXCK00;20;D;Периодическая оплата;1;Ежемесячная;30327;РСЖ;4573.1
30327002;10327;17.07.2022;XB0IXCW;20;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;2741.16
30327002;10327;14.05.2022;XB0IXCW0;20;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;6602.36
30327002;10327;19.08.2022;XB0IXCW00;20;D;Периодическая оплата;1;Ежемесячная;30327;РСЖ;4122.3
30327002;10327;07.12.2022;XB0IXCZ;20;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;1656.48
30327002;10327;15.07.2022;XB0IXCZ0;20;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;1957.88
30327002;10327;18.03.2022;XB0IXCZ00;20;D;Периодическая оплата;1;Ежемесячная;30327;РСЖ;2060.52
171601011;11659;23.09.2022;XB0IY0Y;20;D;Периодическая оплата;1;Ежемесячная;171601;НСЖ;6727.68
171601011;11659;22.12.2022;XB0IY0Y0;20;D;Периодическая оплата;1;Ежемесячная;171601;НСиБ;175.78
160599005;4242;14.06.2022;XB0IYWK;20;D;Периодическая оплата;1;Ежемесячная;160599;ПСЖ;5739.88
116499016;17305;09.03.2022;XB0IYYR;20;D;Периодическая оплата;1;Ежемесячная;116499;НСЖ;34.56
116499016;17305;02.01.2022;XB0IYYR0;20;D;Периодическая оплата;1;Ежемесячная;116499;НСиБ;2842.84
116499016;17305;03.10.2022;XB0IYYR00;20;D;Периодическая оплата;1;Ежемесячная;116499;РСЖ;1864.4
160599005;4242;27.01.2022;XB0IYZ0;20;D;Периодическая оплата;1;Ежемесячная;160599;НСЖ;99
160599005;4242;17.03.2022;XB0IYZ00;20;D;Периодическая оплата;1;Ежемесячная;160599;НСиБ;10834.96
160599005;4242;06.11.2022;XB0IYZ000;20;D;Периодическая оплата;1;Ежемесячная;160599;РСЖ;6656.52
160599005;4242;09.03.2022;XB0IYZC;20;D;Периодическая оплата;1;Ежемесячная;160599;НСиБ;4419.66
160599005;4242;18.12.2022;XB0IYZC0;20;D;Периодическая оплата;1;Ежемесячная;160599;ПСЖ;65131.9
160599005;4242;01.05.2022;XB0IYZR;42;D;Периодическая оплата;1;Ежемесячная;160599;НСиБ;1770.34
160599005;4242;16.04.2022;XB0IYZR0;42;D;Периодическая оплата;1;Ежемесячная;160599;ПСЖ;16297.24
110199017;21126;10.07.2022;XB0IZIR;20;D;Периодическая оплата;1;Ежемесячная;110199;НСиБ;4458.14
110199017;21126;25.06.2022;XB0IZIR0;20;D;Периодическая оплата;1;Ежемесячная;110199;ПСЖ;9609.21
110199017;21126;13.01.2022;XB0IZIW;20;D;Периодическая оплата;1;Ежемесячная;110199;НСЖ;3422.72
110199017;21126;07.10.2022;XB0IZIW0;20;D;Периодическая оплата;1;Ежемесячная;110199;НСиБ;3475.5
110199017;21126;16.06.2022;XB0IZIY;42;D;Периодическая оплата;1;Ежемесячная;110199;НСиБ;2575.35
110199017;21126;27.09.2022;XB0IZIY0;42;D;Периодическая оплата;1;Ежемесячная;110199;ПСЖ;8659.6
135799005;20875;23.12.2022;XB0K0IB;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;1367.9
135799005;20875;16.11.2022;XB0K0IB0;20;D;Периодическая оплата;1;Ежемесячная;135799;ПСЖ;16308.32
135799005;20875;21.05.2022;XB0K0II;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;8430.52
135799005;20875;27.02.2022;XB0K0II0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;3762.17
135799005;20875;16.04.2022;XB0K0IK;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;8907.24
135799005;20875;12.12.2022;XB0K0IK0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;4326.96
135799005;20875;03.03.2022;XB0K0IW;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;11197.9
135799005;20875;18.12.2022;XB0K0IW0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;4419.43
135799005;20875;11.09.2022;XB0K0IZ;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;10532.71
135799005;20875;05.05.2022;XB0K0IZ0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;9202.27
135799005;20875;21.10.2022;XB0K0W0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;5661.71
135799005;20875;13.03.2022;XB0K0W00;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;12297.19
135799005;20875;24.11.2022;XB0K0W000;20;D;Периодическая оплата;1;Ежемесячная;135799;РСЖ;1560.9
135799005;20875;20.02.2022;XB0K0WC;20;D;Периодическая оплата;1;Ежемесячная;135799;НСЖ;7786.52
135799005;20875;22.11.2022;XB0K0WC0;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;2006.19
135799005;20875;25.01.2022;XB0K0WX;20;D;Периодическая оплата;1;Ежемесячная;135799;НСиБ;384.01
135799005;20875;16.03.2022;XB0K0WX0;20;D;Периодическая оплата;1;Ежемесячная;135799;ПСЖ;7651.92
88899008;15166;28.02.2022;XB0KCXI;20;D;Периодическая оплата;1;Ежемесячная;88899;НСЖ;10747.44
88899008;15166;20.03.2022;XB0KCXI0;20;D;Периодическая оплата;1;Ежемесячная;88899;НСиБ;3577.12
88899008;15166;08.07.2022;XB0KCXI00;20;D;Периодическая оплата;1;Ежемесячная;88899;РСЖ;2407.86
109106002;19238;14.11.2022;XB0KCYI;20;D;Периодическая оплата;1;Ежемесячная;109106;НСЖ;4489.2
109106002;19238;08.12.2022;XB0KCYI0;20;D;Периодическая оплата;1;Ежемесячная;109106;НСиБ;2908.48
109106002;19238;05.07.2022;XB0KCYR;42;D;Периодическая оплата;1;Ежемесячная;109106;НСЖ;5899.3
109106002;19238;28.03.2022;XB0KCYR0;42;D;Периодическая оплата;1;Ежемесячная;109106;НСиБ;5768.2
109106002;19238;08.08.2022;XB0KCYY;20;D;Периодическая оплата;1;Ежемесячная;109106;НСЖ;1775.79
109106002;19238;22.02.2022;XB0KCYY0;20;D;Периодическая оплата;1;Ежемесячная;109106;НСиБ;3863.65
109106002;19238;23.10.2022;XB0KCYY00;20;D;Периодическая оплата;1;Ежемесячная;109106;РСЖ;113.76
202604001;15448;22.02.2022;XB0KCZR;20;D;Периодическая оплата;6;Полугодовая;202604;НСЖ;16909.9
202604001;15448;18.02.2022;XB0KCZR0;20;D;Периодическая оплата;6;Полугодовая;202604;НСиБ;22218.66
202604001;15448;17.05.2022;XB0KCZY;20;D;Периодическая оплата;6;Полугодовая;202604;НСЖ;13196.04
202604001;15448;09.12.2022;XB0KCZY0;20;D;Периодическая оплата;6;Полугодовая;202604;НСиБ;15202
30327006;12353;13.01.2022;XB0KRKW;42;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;5795.36
30327006;12353;20.09.2022;XB0KRKW0;42;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;204.96
30327006;12353;20.03.2022;XB0KRKZ;42;D;Периодическая оплата;1;Ежемесячная;30327;НСЖ;7640.82
30327006;12353;24.01.2022;XB0KRKZ0;42;D;Периодическая оплата;1;Ежемесячная;30327;НСиБ;305
88899011;15366;05.09.2022;XB0KWBK;20;D;Периодическая оплата;1;Ежемесячная;88899;НСиБ;1234.8
88899011;15366;15.11.2022;XB0KWBK0;20;D;Периодическая оплата;1;Ежемесячная;88899;ПСЖ;175682
88899011;15366;21.05.2022;XB0KWBZ;20;D;Периодическая оплата;1;Ежемесячная;88899;НСЖ;86568.3
88899011;15366;01.10.2022;XB0KWBZ0;20;D;Периодическая оплата;1;Ежемесячная;88899;НСиБ;5672.22
109199016;19243;22.02.2022;XB0KWKZ;20;D;Периодическая оплата;1;Ежемесячная;109199;НСЖ;8761.14
109199016;19243;11.11.2022;XB0KWKZ0;20;D;Периодическая оплата;1;Ежемесячная;109199;НСиБ;1255.48
109199016;19243;07.01.2022;XB0KWKZ00;20;D;Периодическая оплата;1;Ежемесячная;109199;РСЖ;477.24
40999030;14222;06.07.2022;XB0KYIC;20;D;Периодическая оплата;12;Годовая;40999;НСЖ;125460.34
40999030;14222;21.04.2022;XB0KYIC0;20;D;Периодическая оплата;12;Годовая;40999;НСиБ;28153.16
30327003;19526;04.10.2022;XB0KYYI;20;D;Периодическая оплата;12;Годовая;30327;НСЖ;238770
30327003;19526;21.12.2022;XB0KYYI0;20;D;Периодическая оплата;12;Годовая;30327;НСиБ;23436
88899011;15366;09.12.2022;XB0KZ0C;20;D;Периодическая оплата;1;Ежемесячная;88899;НСЖ;16426.27
88899011;15366;13.09.2022;XB0KZ0C0;20;D;Периодическая оплата;1;Ежемесячная;88899;НСиБ;7167.22
88899011;15366;22.04.2022;XB0KZ0C00;20;D;Периодическая оплата;1;Ежемесячная;88899;РСЖ;2597.9
88899011;15366;15.09.2022;XB0KZ0X;20;D;Периодическая оплата;12;Годовая;88899;НСЖ;446.96
88899011;15366;01.03.2022;XB0KZ0X0;20;D;Периодическая оплата;12;Годовая;88899;НСиБ;32774.12
88899011;15366;22.10.2022;XB0KZ0X00;20;D;Периодическая оплата;12;Годовая;88899;РСЖ;31113.46
55499057;9003;13.04.2022;XB0KZYK;20;D;Периодическая оплата;6;Полугодовая;55499;НСЖ;19936.48
55499057;9003;07.09.2022;XB0KZYK0;20;D;Периодическая оплата;6;Полугодовая;55499;НСиБ;2540.38
55499057;9003;13.08.2022;XB0KZYZ;20;D;Периодическая оплата;1;Ежемесячная;55499;НСиБ;1964.13
55499057;9003;06.02.2022;XB0KZYZ0;20;D;Периодическая оплата;1;Ежемесячная;55499;ПСЖ;12233.35
135799005;20875;12.05.2022;XB0R0RI;20;D;Периодическая оплата;1;Ежемесячная;135799;ПСЖ;1595.16
171605001;11676;14.07.2022;XB0RBBZ;20;D;Периодическая оплата;1;Ежемесячная;171605;НСиБ;59.76
171605001;11676;17.05.2022;XB0RBBZ0;20;D;Периодическая оплата;1;Ежемесячная;171605;ПСЖ;1906.8
52899095;1548;01.01.2022;XB0RCRR;20;D;Периодическая оплата;12;Годовая;52899;НСЖ;158791.19
52899095;1548;07.01.2022;XB0RCRR0;20;D;Периодическая оплата;12;Годовая;52899;НСиБ;5517.82
116499016;17305;26.11.2022;XB0RWBK;20;D;Периодическая оплата;1;Ежемесячная;116499;НСЖ;31472
56499006;2938;01.02.2022;XB0RWYW;20;D;Периодическая оплата;12;Годовая;56499;НСЖ;45401
40999033;17759;09.06.2022;XB0RZ0C;20;D;Периодическая оплата;1;Ежемесячная;40999;НСЖ;64.8
40999033;17759;03.11.2022;XB0RZ0C0;20;D;Периодическая оплата;1;Ежемесячная;40999;НСиБ;7654.48
40999033;17759;20.09.2022;XB0RZ0C00;20;D;Периодическая оплата;1;Ежемесячная;40999;РСЖ;883.32
40999033;17759;19.06.2022;XB0RZ0R;20;D;Периодическая оплата;1;Ежемесячная;40999;НСиБ;1144.8
40999033;17759;22.03.2022;XB0RZ0R0;20;D;Периодическая оплата;1;Ежемесячная;40999;ПСЖ;21496.68
55499040;7080;08.12.2022;XB0WCRB;42;D;Периодическая оплата;1;Ежемесячная;55499;НСЖ;43.2
55499040;7080;18.02.2022;XB0WCRB0;42;D;Периодическая оплата;1;Ежемесячная;55499;НСиБ;6395.4
55499040;7080;04.11.2022;XB0WCRB00;42;D;Периодическая оплата;1;Ежемесячная;55499;РСЖ;3805.2
40999030;14222;11.12.2022;XB0WCWB;20;D;Периодическая оплата;1;Ежемесячная;40999;ПСЖ;10936.8
40999030;14222;04.12.2022;XB0WCWK;20;D;Периодическая оплата;1;Ежемесячная;40999;ПСЖ;15075.84
55499040;7080;20.12.2022;XB0WCY0;20;D;Периодическая оплата;1;Ежемесячная;55499;ПСЖ;37045.36
55499040;7080;12.05.2022;XB0WCYC;20;D;Периодическая оплата;1;Ежемесячная;55499;ПСЖ;7839.28
